month,season,contract,baseprice,exceed_stage_1,exceed_stage_2,exceed_stage_1_price,exceed_stage_2_price,exceed_price,totalprice
Jan,ns,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",50070.0,"{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",0.0,0.0,0.0,50070.0
Feb,ns,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",50070.0,"{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",0.0,0.0,0.0,50070.0
Mar,ns,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",50070.0,"{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",0.0,0.0,0.0,50070.0
Apr,s,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",67080.0,"{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",0.0,0.0,0.0,67080.0
May,s,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",67080.0,"{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",0.0,0.0,0.0,67080.0
Jun,s,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",67080.0,"{'r': 9, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",4024.7999999999997,0.0,4024.7999999999997,71104.8
Jul,s,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",67080.0,"{'r': 30.0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 27.0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",13416.0,18111.6,31527.6,98607.6
Aug,s,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",67080.0,"{'r': 29, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",12968.8,0.0,12968.8,80048.8
Sep,s,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",67080.0,"{'r': 30.0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 12.0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",13416.0,8049.599999999999,21465.6,88545.6
Oct,ns,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",50070.0,"{'r': 26, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",8678.800000000001,0.0,8678.800000000001,58748.8
Nov,ns,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",50070.0,"{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",0.0,0.0,0.0,50070.0
Dec,ns,"{'r': 300, 'hp': 0, 'ns': 0, 'shp': 0, 'op': 0}",50070.0,"{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}","{'r': 0, 'hp': 0.0, 'ns': 0.0, 'shp': 0.0, 'op': 0.0}",0.0,0.0,0.0,50070.0
